id,route_id,sdvrp_constraint_number,sdvrp_constraint_customer_code,sdvrp_constraint_vehicle_code,
113,2958047,15,131248,O76-T-703, 
114,2958047,16,140805,O76-T-703, 
115,2958047,17,921336,O76-T-703, 
116,2958047,18,131248,O76-T-702, 
117,2958047,19,921336,O76-T-702, 
118,2958047,20,140805,A08-J-522, 
119,2958047,21,140805,O76-T-702, 
120,2958047,22,1805,875-M-523, 
121,2958047,23,871,875-M-523, 
122,2958047,24,1016,875-M-523, 
123,2958047,25,135372,O76-T-702, 
124,2958047,26,132531,O76-T-702, 
125,2958047,27,883,O76-T-702, 
126,2958047,28,131249,O76-T-702, 
127,2970877,1,1748,875-M-523, 
128,2970877,2,1748,A08-J-522, 
129,2970877,3,1748,A69-O-649, 
130,2970877,4,1748,O76-T-702, 
131,2970877,5,1748,O76-T-703, 
132,2970877,6,1748,T14-E-264, 
133,2970877,7,139007,875-M-523, 
134,2970877,8,7522,875-M-523, 
135,2970877,9,15251,875-M-523, 
136,2970877,10,15249,875-M-523, 
137,2970877,11,921675,875-M-523, 
138,2970877,12,15247,875-M-523, 
139,2970877,13,139007,O78-K-074, 
140,2970877,14,139007,O76-T-702, 
141,2970877,15,139007,O76-T-703, 
142,2970877,16,139007,T14-E-264, 
143,2970877,17,139007,A08-J-522, 
144,2970877,18,921675,O76-T-702, 
145,2970877,19,921675,O76-T-703, 
146,2970877,20,135887,875-M-523, 
147,2970877,21,135887,O76-T-702, 
148,2970877,22,135887,O76-T-703, 
149,2970877,23,142995,875-M-523, 
150,2970877,24,142995,O76-T-702, 
151,2970877,25,142995,O76-T-703, 
152,2970877,26,15249,O76-T-702, 
153,2970877,27,15249,O76-T-703, 
154,2970877,28,15249,A08-J-522, 
155,2970877,29,15247,O76-T-702, 
156,2970877,30,15247,O76-T-703, 
157,2970877,31,15247,A08-J-522, 
158,2970877,32,133290,875-M-523, 
159,2970877,33,133290,O76-T-702, 
160,2970877,34,133290,O76-T-703, 
161,2970877,35,15026,875-M-523, 
162,2970877,36,884,875-M-523, 
163,2970877,37,140805,875-M-523, 
164,2970877,38,923124,875-M-523, 
165,2970877,39,145259,875-M-523, 
166,2970877,40,884,O76-T-703, 
167,2970877,41,15026,O76-T-703, 
168,2970877,42,140805,O76-T-703, 
169,2970877,43,923124,O76-T-703, 
170,2970877,44,145259,O76-T-703, 
171,2970877,45,15026,O76-T-702, 
172,2970877,46,884,O76-T-702, 
173,2970877,47,923124,O76-T-702, 
174,2970877,48,140805,A08-J-522, 
175,2970877,49,145259,A08-J-522, 
176,2970877,50,145259,O76-T-702, 
177,2970877,51,140805,O76-T-702, 
178,2970877,52,1805,875-M-523, 
179,2970877,53,7525,875-M-523, 
180,2970877,54,740,875-M-523, 
181,2970877,55,139007,A69-O-649, 
182,2970877,56,7522,O76-T-702, 
183,2970877,57,920707,O76-T-702, 
184,2990001,1,923591,875-M-523, 
185,2990001,2,923591,A08-J-522, 
186,2990001,3,923591,A69-O-649, 
187,2990001,4,923591,O76-T-702, 
188,2990001,5,923591,O76-T-703, 
189,2990001,6,923591,T14-E-264, 
190,2990001,7,7522,875-M-523, 
191,2990001,8,882,875-M-523, 
192,2990001,9,1539,875-M-523, 
193,2990001,10,921336,875-M-523, 
194,2990001,11,131459,875-M-523, 
195,2990001,12,15328,875-M-523, 
196,2990001,13,15208,875-M-523, 
197,2990001,14,132531,O76-T-703, 
198,2990001,15,132531,875-M-523, 
199,2990001,16,1439,O76-T-702, 
200,2990001,17,1439,O76-T-703, 
201,2990001,18,1439,875-M-523, 
202,2990001,19,882,O76-T-702, 
203,2990001,20,882,O76-T-703, 
204,2990001,21,882,A08-J-522, 
205,2990001,22,921003,875-M-523, 
206,2990001,23,921003,O76-T-702, 
207,2990001,24,921003,O76-T-703, 
208,2990001,25,921733,875-M-523, 
209,2990001,26,15030,875-M-523, 
210,2990001,27,131248,875-M-523, 
211,2990001,28,922327,875-M-523, 
212,2990001,29,145259,875-M-523, 
213,2990001,30,131248,O76-T-703, 
214,2990001,32,922327,O76-T-703, 
215,2990001,33,921336,O76-T-703, 
216,2990001,34,145259,O76-T-703, 
217,2990001,35,131248,O76-T-702, 
218,2990001,36,922327,O76-T-702, 
219,2990001,38,921336,O76-T-702, 
220,2990001,39,145259,A08-J-522, 
221,2990001,40,145259,O76-T-702, 
222,2990001,41,1805,875-M-523, 
223,2990001,42,871,875-M-523, 
224,2990001,43,136942,875-M-523, 
225,2990001,44,1016,875-M-523, 
226,2990001,45,7522,O76-T-702, 
227,2990001,46,132531,O76-T-702, 
228,2990001,47,131249,O76-T-702, 
229,2990001,48,138088,875-M-523, 
230,2990001,49,138088,A08-J-522, 
231,2990001,50,138088,A69-O-649, 
232,2990001,51,138088,O76-T-702, 
233,2990001,52,138088,O76-T-703, 
234,2990001,53,138088,T14-E-264, 
235,2990001,54,138097,875-M-523, 
236,2990001,55,138097,A08-J-522, 
237,2990001,56,138097,A69-O-649, 
238,2990001,57,138097,O76-T-702, 
239,2990001,58,138097,O76-T-703, 
240,2990001,59,138097,T14-E-264, 
241,3005971,1,139007,875-M-523, 
242,3005971,2,15251,875-M-523, 
243,3005971,3,1539,875-M-523, 
244,3005971,4,921336,875-M-523, 
245,3005971,5,921675,875-M-523, 
246,3005971,6,15206,875-M-523, 
247,3005971,7,139007,O78-K-074, 
248,3005971,8,139007,O76-T-702, 
249,3005971,9,139007,O76-T-703, 
250,3005971,10,139007,T14-E-264, 
251,3005971,11,138089,T14-E-264, 
252,3005971,12,138089,O78-K-074, 
253,3005971,13,138089,O76-T-703, 
254,3005971,14,138089,O76-T-702, 
255,3005971,15,138089,875-M-523, 
256,3005971,16,15261,O76-T-702, 
257,3005971,17,15261,O76-T-703, 
258,3005971,18,15261,875-M-523, 
259,3005971,19,921675,O76-T-702, 
260,3005971,20,921675,O76-T-703, 
261,3005971,21,921372,875-M-523, 
262,3005971,22,921372,O76-T-702, 
263,3005971,23,921372,O76-T-703, 
264,3005971,24,140805,875-M-523, 
265,3005971,25,15206,O76-T-703, 
266,3005971,26,140805,O76-T-703, 
267,3005971,27,921336,O76-T-703, 
268,3005971,28,15206,O76-T-702, 
269,3005971,29,921336,O76-T-702, 
270,3005971,30,140805,O76-T-702, 
271,3005971,31,740,875-M-523, 
272,3005971,32,131251,875-M-523, 
273,3005971,33,1149,875-M-523, 
274,3005971,34,139007,A69-O-649, 
275,2604001,1,139007,875-M-523, 
276,2604001,2,15251,875-M-523, 
277,2604001,3,15249,875-M-523, 
278,2604001,4,921336,875-M-523, 
279,2604001,5,921675,875-M-523, 
280,2604001,6,15328,875-M-523, 
281,2604001,7,15250,875-M-523, 
282,2604001,8,15207,875-M-523, 
283,2604001,9,15206,875-M-523, 
284,2604001,10,131768,875-M-523, 
285,2604001,11,15208,875-M-523, 
286,2604001,12,139007,O78-K-074, 
287,2604001,13,139007,O76-T-702, 
288,2604001,14,139007,O76-T-703, 
289,2604001,15,139007,A08-J-522, 
290,2604001,16,921675,O76-T-702, 
291,2604001,17,921675,O76-T-703, 
292,2604001,18,15249,O76-T-702, 
293,2604001,19,15249,O76-T-703, 
294,2604001,20,15249,A08-J-522, 
295,2604001,21,921003,875-M-523, 
296,2604001,22,921003,O76-T-702, 
297,2604001,23,921003,O76-T-703, 
298,2604001,24,15030,875-M-523, 
299,2604001,25,131248,875-M-523, 
300,2604001,26,140401,875-M-523, 
301,2604001,27,920968,875-M-523, 
302,2604001,28,15204,875-M-523, 
303,2604001,29,10821,875-M-523, 
304,2604001,30,920968,O76-T-703, 
305,2604001,31,140401,O76-T-703, 
306,2604001,32,131248,O76-T-703, 
307,2604001,33,15030,O76-T-703, 
308,2604001,34,15204,O76-T-703, 
309,2604001,35,15206,O76-T-703, 
310,2604001,36,921336,O76-T-703, 
311,2604001,37,10821,O76-T-703, 
312,2604001,38,131248,O76-T-702, 
313,2604001,39,140401,O76-T-702, 
314,2604001,40,920968,O76-T-702, 
315,2604001,41,15204,O76-T-702, 
316,2604001,42,15030,O76-T-702, 
317,2604001,43,15206,O76-T-702, 
318,2604001,44,921336,O76-T-702, 
319,2604001,45,10821,O76-T-702, 
320,2604001,46,140401,A08-J-522, 
321,2604001,47,10821,A08-J-522, 
322,2604001,48,7525,875-M-523, 
323,2604001,49,740,875-M-523, 
324,2604001,50,871,875-M-523, 
325,2604001,51,136942,875-M-523, 
326,2604001,52,1016,875-M-523, 
327,2604001,53,922075,875-M-523, 
328,2604001,54,139007,A69-O-649, 
329,2604001,55,135579,875-M-523, 
330,2604001,56,135579,A08-J-522, 
331,2604001,57,135579,A69-O-649, 
332,2604001,58,135579,O76-T-702, 
333,2604001,59,135579,O76-T-703, 
334,3016355,1,145259,O76-T-702, 
335,3016355,2,1805,875-M-523, 
336,3016355,3,922526,875-M-523, 
337,3016355,4,15025,875-M-523, 
338,3016355,5,131249,O76-T-702, 
339,3016355,6,135579,875-M-523, 
340,3016355,7,135579,A08-J-522, 
341,3016355,8,135579,A69-O-649, 
342,3016355,9,135579,O76-T-702, 
343,3016355,10,135579,O76-T-703, 
344,3016355,11,138088,875-M-523, 
345,3016355,12,138088,A08-J-522, 
346,3016355,13,138088,A69-O-649, 
347,3016355,14,138088,O76-T-702, 
348,3016355,15,138088,O76-T-703, 
349,3016355,16,138097,875-M-523, 
350,3016355,17,138097,A08-J-522, 
351,3016355,18,138097,A69-O-649, 
352,3016355,19,138097,O76-T-702, 
353,3016355,20,138097,O76-T-703, 
354,3016355,21,15022,875-M-523, 
355,3016355,22,15022,A08-J-522, 
356,3016355,23,15022,A69-O-649, 
357,3016355,24,15022,O76-T-702, 
358,3016355,25,15022,O76-T-703, 
359,3016355,26,923591,875-M-523, 
360,3016355,27,923591,A08-J-522, 
361,3016355,28,923591,A69-O-649, 
362,3016355,29,923591,O76-T-702, 
363,3016355,30,923591,O76-T-703, 
364,3016355,31,15328,875-M-523, 
365,3016355,32,1439,O76-T-702, 
366,3016355,33,1439,O76-T-703, 
367,3016355,34,1439,875-M-523, 
368,3016355,35,142995,875-M-523, 
369,3016355,36,142995,O76-T-702, 
370,3016355,37,142995,O76-T-703, 
371,3016355,38,15205,875-M-523, 
372,3016355,39,15205,O76-T-702, 
373,3016355,40,15205,O76-T-703, 
374,3016355,41,921372,875-M-523, 
375,3016355,42,921372,O76-T-702, 
376,3016355,43,921372,O76-T-703, 
377,3016355,44,145259,875-M-523, 
378,3016355,45,145259,O76-T-703, 
379,3016355,46,145259,A08-J-522, 
380,3016355,47,138093,O76-T-702, 
381,3027038,1,1539,875-M-523, 
382,3027038,2,15208,875-M-523, 
383,3027038,3,1686,O76-T-702, 
384,3027038,4,1686,O76-T-703, 
385,3027038,5,1686,875-M-523, 
386,3027038,6,132531,O76-T-703, 
387,3027038,7,132531,875-M-523, 
388,3027038,8,142995,875-M-523, 
389,3027038,9,142995,O76-T-702, 
390,3027038,10,142995,O76-T-703, 
391,3027038,11,921003,875-M-523, 
392,3027038,12,921003,O76-T-702, 
393,3027038,13,921003,O76-T-703, 
394,3027038,14,15030,875-M-523, 
395,3027038,15,131248,875-M-523, 
396,3027038,16,920968,875-M-523, 
397,3027038,17,10821,875-M-523, 
398,3027038,18,920968,O76-T-703, 
399,3027038,19,131248,O76-T-703, 
400,3027038,20,15030,O76-T-703, 
401,3027038,21,10821,O76-T-703, 
402,3027038,22,131248,O76-T-702, 
403,3027038,23,920968,O76-T-702, 
404,3027038,24,15030,O76-T-702, 
405,3027038,25,10821,O76-T-702, 
406,3027038,26,10821,A08-J-522, 
407,3027038,27,1805,875-M-523, 
408,3027038,28,136942,875-M-523, 
409,3027038,29,1016,875-M-523, 
410,3027038,30,132531,O76-T-702, 
411,3044702,1,139007-1,E81-M-661, 
412,3044702,2,139007-1,O76-T-702, 
413,3044702,3,139007-1,O76-T-703, 
414,3044702,4,139007-1,A08-J-522, 
415,3044702,5,139007-1,A69-O-649, 
416,3044702,6,139007-1,J92-T-826, 
417,3044702,7,139007,875-M-523, 
418,3044702,8,7522,875-M-523, 
419,3044702,9,15251,875-M-523, 
420,3044702,10,15249,875-M-523, 
421,3044702,11,882,875-M-523, 
422,3044702,12,15247,875-M-523, 
423,3044702,13,15328,875-M-523, 
424,3044702,14,15250,875-M-523, 
425,3044702,15,15207,875-M-523, 
426,3044702,16,15206,875-M-523, 
427,3044702,17,139007,E81-M-661, 
428,3044702,18,139007,O76-T-702, 
429,3044702,19,139007,O76-T-703, 
430,3044702,20,139007,A08-J-522, 
431,3044702,21,138089,O76-T-703, 
432,3044702,22,138089,O76-T-702, 
433,3044702,23,138089,A08-J-522, 
434,3044702,24,138089,875-M-523, 
435,3044702,25,1805,875-M-523, 
436,3044702,26,7525,875-M-523, 
437,3044702,27,740,875-M-523, 
438,3044702,28,139007,A69-O-649, 
439,3044702,29,7522,O76-T-702, 
440,3044702,30,883,O76-T-702, 
441,3044702,31,139007,J92-T-826-1, 
442,3044702,32,139007-1,875-M-523, 
