id,route_id,vehicle_code,customer_in_vehicle_route_order_number,customer_code,customer_latitude,customer_longitude,come_to_the_customer_at_min,distance_between_two_last_customers_km,total_distance_to_customer_km,total_delivery_time_min,customer_time_window,
20,2946091,A08-J-522,19,131337,43.72212,17.22354,761.717,0.503,80.148,11.98,08:00 - 15:00, 
21,2946091,A08-J-522,20,142110,43.72387,17.22431,774.302,0.371,80.519,8.02, - , 
22,2946091,A08-J-522,21,922911,43.763243,17.230827,788.251,4.98,85.499,8.19, - , 
23,2946091,A08-J-522,22,7959,43.71882,17.23422,802.876,5.782,91.281,18.88,08:00 - 14:00, 
24,2946091,A08-J-522,23,138142,43.71342,17.23878,822.592,0.803,92.084,8.29, - , 
25,2946091,A08-J-522,24,133893,43.71374,17.23062,832.092,0.758,92.842,9.03, - , 
26,2946091,A08-J-522,25,478,43.70716,17.2229,842.805,1.156,93.998,9.1, - , 
27,2946091,A08-J-522,26,1934,43.70177,17.21097,853.698,1.396,95.394,8.52, - , 
28,2946091,A08-J-522,27,1654,43.62293339,17.25656563,873.9,11.386,106.78,8.88, - , 
29,2946091,A08-J-522,28,144680,43.586910367012,17.298542261123,889.732,6.495,113.275,11.92, - , 
30,2946091,A08-J-522,29,606,43.48842525,17.28596234,917.734,15.422,128.697,9.24, - , 
31,2946091,A08-J-522,30,1000,43.37391833,17.60171712,962.966,34.48,163.177,0.0,0, 
32,2946091,O76-T-702,0,1000,43.37391833,17.60171712,458.571,0.0,0.0,0.0,0, 
33,2946091,O76-T-702,1,131768,43.34568,17.80545,481.0,20.81,20.81,8.02, - , 
34,2946091,O76-T-702,2,15208,43.3503,17.80166,490.109,0.734,21.544,43.42,08:00 - 14:00, 
35,2946091,O76-T-702,3,921302,43.35266,17.80444,534.64,0.551,22.095,53.03,08:00 - 15:00, 
36,2946091,O76-T-702,4,131250,43.32004,17.81924,593.522,4.002,26.097,12.23,08:00 - 15:00, 
37,2946091,O76-T-702,5,7634,43.3059,17.82088,610.163,1.938,28.035,39.94,08:00 - 14:00, 
38,2946091,O76-T-702,6,7930,43.1377,17.77995,679.319,22.702,50.737,9.34,08:00 - 14:00, 
39,2946091,O76-T-702,7,138157,43.135963,17.776839,688.978,0.317,51.054,11.36,08:00 - 15:00, 
40,2946091,O76-T-702,8,133394,43.13381,17.77357,700.701,0.361,51.415,8.64, - , 
41,2946091,O76-T-702,9,1118,43.11155,17.71267,716.645,6.811,58.226,9.61,08:00 - 15:00, 
42,2946091,O76-T-702,10,133395,43.08457827,17.71831298,730.05,3.372,61.598,8.64, - , 
43,2946091,O76-T-702,11,738,43.07658527,17.71537328,739.746,0.993,62.591,12.21,08:00 - 14:00, 
44,2946091,O76-T-702,12,137670,43.05872263,17.7067473,754.288,2.135,64.726,11.94, - , 
45,2946091,O76-T-702,13,921932,43.10820519,17.71376174,772.476,6.043,70.769,10.07, - , 
46,2946091,O76-T-702,14,1676,43.1094,17.70362,783.393,0.834,71.603,8.26, - , 
47,2946091,O76-T-702,15,15203,43.11035251,17.70323897,792.434,0.505,72.108,23.09,08:00 - 14:00, 
48,2946091,O76-T-702,16,15027,43.11036,17.70165,816.008,0.233,72.341,10.48,08:00 - 15:00, 
49,2946091,O76-T-702,17,131469,43.10913847,17.69950533,827.137,0.347,72.688,9.47, - , 
50,2946091,O76-T-702,18,144561,43.10746,17.70177,838.576,0.811,73.499,22.54,08:00 - 15:00, 
51,2946091,O76-T-702,19,922805,43.111334,17.699419,863.129,1.126,74.625,8.52, - , 
52,2946091,O76-T-702,20,1016,43.111171,17.69928539,871.693,0.028,74.653,21.57, - , 
53,2946091,O76-T-702,21,922075,43.11211,17.70017,893.428,0.133,74.786,8.76, - , 
54,2946091,O76-T-702,22,922197,43.117092,17.697722,903.046,0.797,75.583,11.2, - , 
55,2946091,O76-T-702,23,923589,43.12712827287,17.67978970747,916.314,1.992,77.575,13.81, - , 
56,2946091,O76-T-702,24,922334,43.224819,17.695885,947.933,16.079,93.654,7.87, - , 
57,2946091,O76-T-702,25,1000,43.37391833,17.60171712,993.093,28.979,122.633,0.0,0, 
58,2946091,O76-T-703,0,1000,43.37391833,17.60171712,477.788,0.0,0.0,0.0,0, 
59,2946091,O76-T-703,1,1805,43.38176,17.59155,481.0,1.921,1.921,13.32, - , 
60,2946091,O76-T-703,2,26,43.46907801,17.33702249,523.063,27.727,29.648,8.73, - , 
61,2946091,O76-T-703,3,136836,43.46991226,17.3333838,532.662,0.312,29.96,9.19, - , 
62,2946091,O76-T-703,4,921733,43.4733,17.32598,543.513,0.725,30.685,8.72, - , 
63,2946091,O76-T-703,5,7521,43.47523786,17.32810521,552.607,0.3,30.985,9.51,08:00 - 14:00, 
64,2946091,O76-T-703,6,144439,43.4748953498896,17.3288919514747,562.48,0.123,31.108,9.08, - , 
65,2946091,O76-T-703,7,921035,43.47431317,17.32787704,572.066,0.246,31.354,9.76, - , 
66,2946091,O76-T-703,8,2038,43.4744,17.32819,581.958,0.048,31.402,13.63, - , 
67,2946091,O76-T-703,9,922451,43.475001,17.325417,596.127,0.376,31.778,7.94, - , 
68,2946091,O76-T-703,10,454,43.48189308,17.30045863,606.784,2.333,34.111,18.18, - , 
69,2946091,O76-T-703,11,138650,43.47312,17.29732,627.142,1.417,35.528,8.08, - , 
70,2946091,O76-T-703,12,15076,43.46470189,17.31043644,638.665,2.605,38.133,10.64, - , 
71,2946091,O76-T-703,13,143115,43.46942,17.32524,651.252,1.348,39.481,16.44,08:00 - 14:00, 
72,2946091,O76-T-703,14,140023,43.46984,17.32242,668.231,0.273,39.754,10.54, - , 
73,2946091,O76-T-703,15,139187,43.46798,17.33015,680.366,0.772,40.526,13.26, - , 
74,2946091,O76-T-703,16,922957,43.37312,17.60525,724.569,29.637,70.163,7.79, - , 
75,2946091,O76-T-703,17,921872,43.34521,17.7901,755.426,20.665,90.828,8.4, - , 
76,2946091,O76-T-703,18,131247,43.34828,17.79084,767.478,1.387,92.215,11.47,08:00 - 15:00, 
77,2946091,O76-T-703,19,923590,43.34687,17.79848,782.039,1.365,93.58,70.78, - , 
78,2946091,O76-T-703,20,1000,43.37391833,17.60171712,874.643,20.522,114.102,0.0,0, 
79,2946091,O78-K-074,0,1000,43.37391833,17.60171712,461.64,0.0,0.0,0.0,0, 
80,2946091,O78-K-074,1,1425,43.33841,17.79242,481.0,18.38,18.38,8.24, - , 
81,2946091,O78-K-074,2,132531,43.33978,17.80215,491.286,1.578,19.958,16.74,08:00 - 15:00, 
82,2946091,O78-K-074,3,922327,43.345545,17.799215,509.665,1.175,21.133,12.93, - , 
83,2946091,O78-K-074,4,921003,43.3526515,17.79721674,524.608,1.137,22.27,11.63,08:00 - 15:00, 
84,2946091,O78-K-074,5,15253,43.35379,17.79422,537.162,0.348,22.618,13.63,08:00 - 14:00, 
85,2946091,O78-K-074,6,1408,43.35459,17.79902,552.024,0.559,23.177,11.08,08:00 - 15:00, 
86,2946091,O78-K-074,7,921336,43.35442352,17.80005933,563.401,0.134,23.311,16.48,08:00 - 14:00, 
87,2946091,O78-K-074,8,923124,43.351954,17.802762,581.3,0.647,23.958,8.57, - , 
88,2946091,O78-K-074,9,131249,43.34937,17.80554,591.388,0.632,24.59,8.88,08:00 - 15:00, 
89,2946091,O78-K-074,10,920968,43.35491764,17.81399424,604.734,1.999,26.589,11.21, - , 
90,2946091,O78-K-074,11,140401,43.35868,17.81705,618.397,1.291,27.88,11.58, - , 
91,2946091,O78-K-074,12,10825,43.36369616,17.8181746,631.319,0.888,28.768,10.35, - , 
92,2946091,O78-K-074,13,131511,43.36378,17.82157,642.384,0.516,29.284,11.35,08:00 - 14:00, 
93,2946091,O78-K-074,14,135717,43.3726,17.84617,656.165,2.285,31.569,8.64, - , 
94,2946091,O78-K-074,15,923700,43.377547,17.851378,665.542,0.713,32.282,12.33, - , 
95,2946091,O78-K-074,16,922636,43.396088,17.871369,680.534,2.619,34.901,10.49, - , 
96,2946091,O78-K-074,17,131248,43.40848,17.87487,692.454,1.407,36.308,20.74,08:00 - 15:00, 
97,2946091,O78-K-074,18,138087,43.41305,17.87588,713.722,0.515,36.823,19.94,08:00 - 15:00, 
98,2946091,O78-K-074,19,923142,43.429906,17.7661,776.144,19.621,56.444,9.45, - , 
99,2946091,O78-K-074,20,1000,43.37391833,17.60171712,831.86,24.327,80.771,0.0,0, 
100,2946091,T14-E-264,0,1000,43.37391833,17.60171712,477.304,0.0,0.0,0.0,0, 
101,2946091,T14-E-264,1,139432,43.36661,17.63372,481.0,2.949,2.949,9.74, - , 
102,2946091,T14-E-264,2,142995,43.338239,17.810566,510.595,17.982,20.931,9.89, - , 
103,2946091,T14-E-264,3,1439,43.32738,17.82022,523.125,2.182,23.113,13.36, - , 
104,2946091,T14-E-264,4,132462,43.32605,17.82229,537.233,0.322,23.435,8.93,08:00 - 14:00, 
105,2946091,T14-E-264,5,1644,43.3235,17.83111,547.846,1.183,24.618,64.44, - , 
106,2946091,T14-E-264,6,139168,43.26342,17.87914,622.659,8.809,33.427,23.44, - , 
107,2946091,T14-E-264,7,739,43.20614682,17.78742814,665.063,12.902,46.329,9.6,08:00 - 14:00, 
108,2946091,T14-E-264,8,923716,43.135148,17.832879,697.84,16.017,62.346,12.65, - , 
109,2946091,T14-E-264,9,593,43.12445,17.86164,713.427,2.895,65.241,14.94, - , 
110,2946091,T14-E-264,10,136510,43.12315,17.86405,728.928,0.427,65.668,9.9, - , 
111,2946091,T14-E-264,11,922910,43.0791928,17.9500538,749.861,9.871,75.539,21.27, - , 
112,2946091,T14-E-264,12,7945,43.07982,17.94985,771.307,0.079,75.618,14.69,08:00 - 14:00, 
113,2946091,T14-E-264,13,7935,43.083,17.95873,787.394,0.892,76.51,12.61,08:00 - 14:00, 
114,2946091,T14-E-264,14,921231,43.0824,17.95968,800.4,0.179,76.689,8.27, - , 
115,2946091,T14-E-264,15,921127,43.08222786,17.96003741,808.747000000001,0.035,76.724,11.99,08:00 - 14:00, 
116,2946091,T14-E-264,16,923322,43.33346,17.81523,858.269,36.541,113.265,8.12, - , 
117,2946091,T14-E-264,17,1000,43.37391833,17.60171712,890.446000000001,21.519,134.784,0.0,0, 
118,2922001,A08-J-522,0,1000,43.37391833,17.60171712,479.647,0.0,0.0,0.0,0, 
119,2922001,A08-J-522,1,1080,43.37812828,17.60419065,481.0,0.606,0.606,8.53, - , 
120,2922001,A08-J-522,2,15202,43.38594,17.59217,491.851,1.674,2.28,12.7,08:00 - 14:00, 
121,2922001,A08-J-522,3,15026,43.382311,17.592223,505.475,0.579,2.859,18.38,08:00 - 15:00, 
122,2922001,A08-J-522,4,7525,43.38201,17.59221,524.361,0.26,3.119,19.49,08:00 - 14:00, 
123,2922001,A08-J-522,5,131246,43.37751,17.564424,546.744,2.465,5.584,28.61,08:00 - 15:00, 
124,2922001,A08-J-522,6,921969,43.37194,17.559,577.092,1.338,6.922,8.93, - , 
125,2922001,A08-J-522,7,1487,43.37776,17.55557,587.881,1.338,8.26,9.86, - , 
126,2922001,A08-J-522,8,133537,43.36989137,17.4294246,613.482,15.268,23.528,9.13, - , 
127,2922001,A08-J-522,9,352,43.37012299,17.42603832,622.92,0.292,23.82,16.06, - , 
128,2922001,A08-J-522,10,140975,43.37182,17.41506,641.026,1.439,25.259,7.91,08:00 - 12:00, 
129,2922001,A08-J-522,11,136524,43.3987235,17.34308833,656.13,6.783,32.042,15.82, - , 
130,2922001,A08-J-522,12,923817,43.413612,17.310452,675.327,3.198,35.24,9.05, - , 
131,2922001,A08-J-522,13,139709,43.42178,17.27912,687.281,2.774,38.014,33.32, - , 
132,2922001,A08-J-522,14,923132,43.41633743,17.29287154,722.02,1.311,39.325,11.28, - , 
133,2922001,A08-J-522,15,139814,43.41585,17.29739,733.674,0.369,39.694,10.13, - , 
134,2922001,A08-J-522,16,760,43.37195186,17.31434041,750.822,5.317,45.011,23.57, - , 
135,2922001,A08-J-522,17,143063,43.36068,17.32345,776.603,1.629,46.64,9.3, - , 
136,2922001,A08-J-522,18,136525,43.35986235,17.32323462,786.464,0.232,46.872,14.97, - , 
137,2922001,A08-J-522,19,1173,43.36396136,17.41756254,822.631,9.77,56.642,8.98, - , 
138,2922001,A08-J-522,20,138579,43.36692,17.42341,832.821,0.832,57.474,8.8, - , 
139,2922001,A08-J-522,21,1709,43.36722164,17.42251926,841.698,0.078,57.552,11.33, - , 
140,2922001,A08-J-522,22,7572,43.367,17.42341,853.105,0.071,57.623,9.56, - , 
141,2922001,A08-J-522,23,136297,43.39054161,17.48520785,878.681,15.19,72.813,10.84, - , 
142,2922001,A08-J-522,24,141004,43.39097,17.48361,889.895,0.264,73.077,8.03, - , 
143,2922001,A08-J-522,25,923033,43.388833,17.583623,909.783,9.357,82.434,8.89, - , 
144,2922001,A08-J-522,26,1000,43.37391833,17.60171712,924.107,3.416,85.85,0.0,0, 
145,2922001,A69-O-649,0,1000,43.37391833,17.60171712,458.704,0.0,0.0,0.0,0, 
146,2922001,A69-O-649,1,15250,43.34129,17.80184,480.0,19.904,19.904,16.89,08:00 - 14:00, 
147,2922001,A69-O-649,2,15247,43.34668,17.8017,498.749,0.845,20.749,11.75,08:00 - 14:00, 
148,2922001,A69-O-649,3,15021,43.34601,17.80105,510.972,0.216,20.965,25.04,08:00 - 15:00, 
149,2922001,A69-O-649,4,138089,43.34414,17.80873,537.816,0.828,21.793,16.88,08:00 - 15:00, 
150,2922001,A69-O-649,5,142634,43.34059,17.80684,555.928,0.838,22.631,8.46, - , 
151,2922001,A69-O-649,6,15206,43.33583,17.80148,566.786,1.107,23.738,15.99,08:00 - 14:00, 
152,2922001,A69-O-649,7,131242,43.29281,17.76174,592.797,9.072,32.81,11.2,08:00 - 15:00, 
153,2922001,A69-O-649,8,921523,43.29054,17.760627,604.272,0.268,33.078,8.8, - , 
154,2922001,A69-O-649,9,136298,43.26075425,17.69947314,621.476,7.794,40.872,11.96,08:00 - 15:00, 
155,2922001,A69-O-649,10,139984,43.22274,17.69134,640.652,6.626,47.498,17.01,08:00 - 15:00, 
156,2922001,A69-O-649,11,136174,43.20729,17.66857,660.467,2.75,50.248,12.27,08:00 - 15:00, 
157,2922001,A69-O-649,12,923163,43.207427,17.668477,672.792,0.016,50.264,13.49, - , 
158,2922001,A69-O-649,13,15209,43.19572942,17.67561221,688.394,1.589,51.853,20.31,08:00 - 14:00, 
159,2922001,A69-O-649,14,920497,43.19456348,17.67901129,709.452,0.339,52.192,13.97,08:00 - 15:00, 
160,2922001,A69-O-649,15,920597,43.18526869,17.67822151,726.183,1.171,53.363,8.78, - , 
161,2922001,A69-O-649,16,15189,43.189403,17.679732,736.679,0.697,54.06,9.09, - , 
162,2922001,A69-O-649,17,141516,43.190612,17.686242,747.485,0.731,54.791,7.75, - , 
163,2922001,A69-O-649,18,307,43.19161515,17.68348718,756.005,0.302,55.093,13.91, - , 
164,2922001,A69-O-649,19,1805,43.38176,17.59155,804.851,30.469,85.562,7.75, - , 
165,2922001,A69-O-649,20,1000,43.37391833,17.60171712,815.681,1.82,87.382,0.0,0, 
166,2922001,J92-T-826,0,1000,43.37391833,17.60171712,471.936,0.0,0.0,0.0,0, 
167,2922001,J92-T-826,1,1346,43.35162,17.68789,481.0,8.231,8.231,9.87, - , 
168,2922001,J92-T-826,2,15328,43.34914,17.79765,503.993,12.59,20.821,10.8,08:00 - 14:00, 
169,2922001,J92-T-826,3,15020,43.34942,17.79687,515.2,0.174,20.995,20.37,08:00 - 15:00, 
170,2922001,J92-T-826,4,15249,43.3505,17.79755,536.373,0.354,21.349,8.81,08:00 - 14:00, 
171,2922001,J92-T-826,5,133290,43.35112,17.79835,545.381,0.093,21.442,12.84,08:00 - 14:00, 
172,2922001,J92-T-826,6,136088,43.348935,17.804925,560.223,0.875,22.317,28.45,08:00 - 15:00, 
173,2922001,J92-T-826,7,139007,43.34938,17.80456,588.75,0.023,22.34,62.23,08:00 - 14:00, 
174,2922001,J92-T-826,8,138315,43.34449,17.80252,652.564,0.727,23.067,10.8, - , 
175,2922001,J92-T-826,9,1000,43.37391833,17.60171712,685.144,20.434,43.501,0.0,0, 
176,2922001,O76-T-702,0,1000,43.37391833,17.60171712,456.526,0.0,0.0,0.0,0, 
177,2922001,O76-T-702,1,15251,43.34646,17.79313,480.0,21.047,21.047,14.5,08:00 - 14:00, 
178,2922001,O76-T-702,2,15253,43.35379,17.79422,496.744,1.232,22.279,40.55,08:00 - 14:00, 
179,2922001,O76-T-702,3,142817,43.34895,17.80541,540.275,1.298,23.577,8.38, - , 
180,2922001,O76-T-702,4,137634,43.34691846,17.81345256,550.943,0.963,24.54,9.31, - , 
181,2922001,O76-T-702,5,990,43.3552,17.81367,562.915,1.166,25.706,9.35,08:00 - 15:00, 
182,2922001,O76-T-702,6,137731,43.36458,17.82233,574.663,1.692,27.398,95.85,08:00 - 15:00, 
183,2922001,O76-T-702,7,10825,43.36369616,17.8181746,671.404,0.389,27.787,7.77, - , 
184,2922001,O76-T-702,8,15252,43.25176,17.83719,692.066,12.964,40.751,14.91,08:00 - 14:00, 
185,2922001,O76-T-702,9,921561,43.207012,17.794347,714.126,7.047,47.798,8.91, - , 
186,2922001,O76-T-702,10,1886,43.22527202,17.71125341,734.388,10.263,58.061,8.7, - , 
187,2922001,O76-T-702,11,360,43.22622578,17.70915055,743.44,0.26,58.321,12.79, - , 
188,2922001,O76-T-702,12,136885,43.22722642,17.70582462,756.582,0.304,58.625,10.15, - , 
189,2922001,O76-T-702,13,921607,43.22861,17.70194,767.15,0.365,58.99,13.65, - , 
190,2922001,O76-T-702,14,923731,43.22871,17.701516,780.844,0.035,59.025,14.71, - , 
191,2922001,O76-T-702,15,742,43.22780491,17.69687677,796.17,0.457,59.482,22.34,08:00 - 14:00, 
192,2922001,O76-T-702,16,740,43.22866482,17.69685531,819.027,0.193,59.675,18.34,08:00 - 14:00, 
193,2922001,O76-T-702,17,587,43.22818015,17.69631887,837.752,0.153,59.828,13.15, - , 
194,2922001,O76-T-702,18,135890,43.22796126,17.69842172,851.298,0.285,60.113,11.38, - , 
195,2922001,O76-T-702,19,920118,43.22891928,17.6998378,862.876,0.146,60.259,9.97,08:00 - 15:00, 
196,2922001,O76-T-702,20,1078,43.37446,17.60252,908.288,27.893,88.152,43.39, - , 
197,2922001,O76-T-702,21,1000,43.37391833,17.60171712,952.107,0.161,88.313,0.0,0, 
198,2922001,O76-T-703,0,1000,43.37391833,17.60171712,448.143,0.0,0.0,0.0,0, 
199,2922001,O76-T-703,1,922636,43.396088,17.871369,481.0,29.251,29.251,13.61, - , 
200,2922001,O76-T-703,2,920241,43.94001034,17.58122716,585.8,89.082,118.333,8.68, - , 
201,2922001,O76-T-703,3,140883,44.03967,17.45419,610.815,16.091,134.424,22.39, - , 
202,2922001,O76-T-703,4,142873,44.04466,17.45082,633.909,0.644,135.068,31.57,08:00 - 14:00, 
203,2922001,O76-T-703,5,142832,44.05261,17.45045,667.173,0.896,135.964,8.35, - , 
204,2922001,O76-T-703,6,921090,44.0551334767238,17.4500021666873,676.656,0.538,136.502,10.35, - , 
205,2922001,O76-T-703,7,145260,44.05475049,17.44977762,687.116,0.035,136.537,20.58,08:00 - 14:00, 
206,2922001,O76-T-703,8,144810,44.05482462,17.44957369,707.729,0.011,136.548,14.56,08:00 - 15:00, 
207,2922001,O76-T-703,9,1031,44.05528662,17.44944653,723.785,0.756,137.304,14.79,08:00 - 14:00, 
208,2922001,O76-T-703,10,1007,44.05671,17.44928,739.147,0.258,137.562,8.05, - , 
209,2922001,O76-T-703,11,137380,44.06022889,17.44697028,747.978,0.605,138.167,7.85, - , 
210,2922001,O76-T-703,12,138929,44.07124,17.44981,757.753,1.265,139.432,8.48, - , 
211,2922001,O76-T-703,13,10564,44.08412,17.44531,768.543,1.527,140.959,9.28, - , 
212,2922001,O76-T-703,14,920532,44.08039739,17.44696406,778.461,0.431,141.39,10.24,08:00 - 14:00, 
213,2922001,O76-T-703,15,924068,44.070345,17.446652,791.165,1.431,142.821,12.59, - , 
214,2922001,O76-T-703,16,137599,44.05943,17.4496,805.955,1.367,144.188,9.4, - , 
215,2922001,O76-T-703,17,923922,44.053414,17.44371,816.499,0.86,145.048,12.12, - , 
216,2922001,O76-T-703,18,138642,44.05173,17.43951,829.279,0.426,145.474,10.27, - , 
217,2922001,O76-T-703,19,920120,44.05408739,17.43662959,841.265,0.668,146.142,46.41,08:00 - 15:00, 
218,2922001,O76-T-703,20,138643,44.05306,17.44433,889.424,0.722,146.864,9.84, - , 
219,2922001,O76-T-703,21,922087,43.839192,17.174962,944.98,43.567,190.431,7.75, - , 
220,2922001,O76-T-703,22,920105,43.83979,17.17697,953.104,0.187,190.618,8.47, - , 
221,2922001,O76-T-703,23,1000,43.37391833,17.60171712,1046.142,82.37,272.988,0.0,0, 
222,2922001,T14-E-264,0,1000,43.37391833,17.60171712,420.577,0.0,0.0,0.0,0, 
223,2922001,T14-E-264,1,9,43.25479,18.11055,481.0,57.577,57.577,10.55, - , 
224,2922001,T14-E-264,2,139927,43.25686,18.11159,491.803,0.248,57.825,10.14, - , 
225,2922001,T14-E-264,3,1938,43.25739,18.11307,502.075,0.127,57.952,10.59, - , 
226,2922001,T14-E-264,4,143271,43.2577,18.1118,513.248,0.36,58.312,16.3, - , 
227,2922001,T14-E-264,5,137663,43.25821,18.11214,529.713,0.075,58.387,21.82,08:00 - 15:00, 
228,2922001,T14-E-264,6,144285,43.2657,18.1172,553.271,1.008,59.395,9.4, - , 
229,2922001,T14-E-264,7,1973,43.25596499,18.11753595,564.629,1.35,60.745,16.26, - , 
230,2922001,T14-E-264,8,1619,43.25385,18.1194,581.307,0.325,61.07,11.46, - , 
231,2922001,T14-E-264,9,144284,43.24393,18.13937,596.188,2.175,63.245,9.43, - , 
232,2922001,T14-E-264,10,139925,43.25554,18.12072,609.655,2.729,65.974,11.37, - , 
233,2922001,T14-E-264,11,586,43.25657,18.13378,622.136,1.095,67.069,17.88, - , 
234,2922001,T14-E-264,12,140114,43.16738,18.52954,688.845,47.678,114.747,9.03, - , 
235,2922001,T14-E-264,13,137667,43.16741,18.52947,697.886,0.007,114.754,22.48,08:00 - 15:00, 
236,2922001,T14-E-264,14,921615,43.165776466813,18.535319786064,721.202,0.578,115.332,10.56, - , 
237,2922001,T14-E-264,15,923634,43.158646,18.547353,733.335,1.527,116.859,11.34, - , 
238,2922001,T14-E-264,16,320,42.89103,18.41611,782.339,39.859,156.718,10.44, - , 
239,2922001,T14-E-264,17,139129,42.88076,18.42669,794.275,1.593,158.311,11.0, - , 
240,2922001,T14-E-264,18,7585,42.8798,18.43202,806.738,0.724,159.035,9.91, - , 
241,2922001,T14-E-264,19,992,42.87157,18.43223,819.178,1.13,160.165,9.84, - , 
242,2922001,T14-E-264,20,141650,42.87176,18.43113,829.359,0.135,160.3,9.17, - , 
243,2922001,T14-E-264,21,920208,42.86648,18.41876,840.883,1.586,161.886,9.58, - , 
244,2922001,T14-E-264,22,137662,42.87354,18.42531,851.475,1.031,162.917,24.29,08:00 - 15:00, 
245,2922001,T14-E-264,23,920284,42.87409,18.42655,876.029,0.118,163.035,10.35, - , 
246,2922001,T14-E-264,24,921453,42.875648357754,18.427449200127,886.929,0.251,163.286,9.41, - , 
247,2922001,T14-E-264,25,138343,42.87583,18.42721,896.416,0.035,163.321,9.24, - , 
248,2922001,T14-E-264,26,1000,43.37391833,17.60171712,1028.603,115.977,279.298,0.0,0, 
249,2939484,A08-J-522,0,1000,43.37391833,17.60171712,446.34,0.0,0.0,0.0,0, 
250,2939484,A08-J-522,1,136174,43.20729,17.66857,480.0,30.162,30.162,12.27,08:00 - 15:00, 
251,2939484,A08-J-522,2,923163,43.207427,17.668477,492.325,0.016,30.178,24.75, - , 
252,2939484,A08-J-522,3,142015,43.20407,17.66806,517.702,0.508,30.686,8.08, - , 
253,2939484,A08-J-522,4,131252,43.19626128,17.67544055,527.476,1.15,31.836,25.19,08:00 - 15:00, 
254,2939484,A08-J-522,5,15209,43.19572942,17.67561221,552.776,0.05,31.886,20.31,08:00 - 14:00, 
255,2939484,A08-J-522,6,7552,43.195593,17.676524,573.251,0.076,31.962,9.66,08:00 - 14:00, 
256,2939484,A08-J-522,7,920497,43.19456348,17.67901129,583.494,0.267,32.229,10.1,08:00 - 15:00, 
257,2939484,A08-J-522,8,969,43.1916308,17.67788673,594.441,0.373,32.602,12.44, - , 
258,2939484,A08-J-522,9,131251,43.18714077,17.67758632,608.19,0.58,33.182,16.49,08:00 - 15:00, 
259,2939484,A08-J-522,10,1149,43.18971973,17.67991856,625.648,0.433,33.615,11.96, - , 
260,2939484,A08-J-522,11,920631,43.18446,17.68763,640.633,1.348,34.963,10.17, - , 
261,2939484,A08-J-522,12,307,43.19161515,17.68348718,653.135,1.058,36.021,19.9, - , 
262,2939484,A08-J-522,13,140048,43.20853,17.67161,677.358,2.675,38.696,9.88, - , 
263,2939484,A08-J-522,14,921561,43.207012,17.794347,703.287,14.82,53.516,8.91, - , 
264,2939484,A08-J-522,15,1892,43.34702534,17.81660819,730.259,18.061,71.577,8.96, - , 
265,2939484,A08-J-522,16,1564,43.35497,17.81335,740.671,1.155,72.732,11.91, - , 
266,2939484,A08-J-522,17,990,43.3552,17.81367,752.724,0.052,72.784,9.35,08:00 - 15:00, 
267,2939484,A08-J-522,18,920968,43.35491764,17.81399424,762.987,0.405,73.189,10.03, - , 
268,2939484,A08-J-522,19,1408,43.35459,17.79902,779.166,2.814,76.003,13.75,08:00 - 15:00, 
269,2939484,A08-J-522,20,131247,43.34828,17.79084,795.567,1.42,77.423,10.56,08:00 - 15:00, 
